f	Aimeda
f	Aina
f	Ainara
f	Ainė
f	Ainora
f	Aira
f	Airė
f	Airima
f	Aista
f	Aistė
f	Aistra
f	Aistrė
f	Aita
f	Aitara
f	Aitra
f	Aiva
f	Aivalda
f	Aivara
f	Aivė
f	Aividė
f	Aivilė
f	Aivina
f	Akvila
f	Akvilė
f	Akvilina
f	Ala
f	Alana
f	Alanta
f	Alantė
f	Alba
f	Alberta
f	Albertina
f	Albina
f	Albinė
f	Alda
f	Aldė
f	Aldona
f	Alė
f	Aleksa
f	Aleksandra
f	Aleksė
f	Aleksija
f	Alena
f	Aleta
f	Alfa
f	Alfonsa
f	Alfonsė
f	Alfreda
f	Alga
f	Alganda
f	Algauda
f	Algaudė
f	Algė
f	Algeda
f	Algenė
f	Algima
f	Algimanta
f	Algimantė
f	Algimina
f	Algina
f	Alginta
f	Algintė
f	Algira
f	Algirda
f	Algirdė
f	Algmina
f	Algunda
f	Algvida
f	Algvina
f	Algyda
f	Algydė
f	Alicija
f	Alimana
f	Alina
f	Aliodija
f	Alisa
f	Alma
f	Almana
f	Almanė
f	Almanta
f	Almantė
f	Almė
f	Almeda
f	Almilė
f	Almina
f	Alminė
f	Alminta
f	Almona
f	Almonė
f	Almuonė
f	Almyra
f	Alna
f	Alnora
f	Alodija
f	Alondra
f	Aloyza
f	Aluona
f	Alva
f	Alvė
f	Alvida
f	Alvilė
f	Alvina
f	Alvinė
f	Alvita
f	Alvitė
f	Alvyda
f	Alvydė
f	Alvyra
f	Alvyrė
f	Ama
f	Amadėja
f	Amalė
f	Amalija
f	Amanda
f	Amarilė
f	Amelė
f	Amelija
f	Aminta
f	Ana
f	Anabela
f	Anabelė
f	Analija
f	Anastazė
f	Anastazija
f	Anatolija
f	Ancė
f	Anchela
f	Andra
f	Andrė
f	Andrėja
f	Andrieja
f	Anė
f	Anela
f	Anelė
f	Aneta
f	Angela
f	Angelė
f	Aniceta
f	Anta
f	Antana
f	Antanė
f	Antanina
f	Antarė
f	Antonija
f	Anzelma
f	Apolinara
f	Apolinarija
f	Apolonė
f	Apolonija
f	Ara
f	Arėja
f	Areta
f	Aretė
f	Argina
f	Arginta
f	Argintė
f	Argira
f	Ariadna
f	Ariadnė
f	Ariela
f	Arielė
f	Arija
f	Arimana
f	Arimanta
f	Arimantė
f	Arimeda
f	Arista
f	Aristėja
f	Aristida
f	Arkadija
f	Arma
f	Armanta
f	Armantė
f	Armeda
f	Armilė
f	Armina
f	Arminė
f	Arminta
f	Armintė
f	Arna
f	Arnė
f	Arnolda
f	Arsena
f	Arsenija
f	Artautė
f	Artė
f	Artemida
f	Artemidė
f	Artūra
f	Artūrė
f	Arūnė
f	Arvaida
f	Arvaidė
f	Arvida
f	Arvidė
f	Arvilė
f	Arvina
f	Arvyda
f	Arvydė
f	Aspazija
f	Asta
f	Astė
f	Astera
f	Asterija
f	Astija
f	Astra
f	Astrė
f	Astrida
f	Ašara
f	Ata
f	Atėna
f	Atėnė
f	Auda
f	Audangė
f	Audinga
f	Audmantė
f	Audra
f	Audrė
f	Audronė
f	Audrūnė
f	Auga
f	Augė
f	Augenė
f	Augina
f	Augintė
f	Augmantė
f	Augmilė
f	Augmina
f	Augtara
f	Augtarė
f	Augunda
f	Augusta
f	Augustė
f	Augustina
f	Augvilė
f	Auksa
f	Auksė
f	Auksuolė
f	Auksutė
f	Aura
f	Aurė
f	Aurėja
f	Aurela
f	Aurelė
f	Aurelija
f	Aurima
f	Aurimantė
f	Aurimė
f	Aurora
f	Aušra
f	Aušrė
f	Aušrinė
f	Austa
